registry_number,business_name,entity_type,registry_date,associated_name_type,address,city,state,zip,business_details,address_continued,not_of_record_entity
6343917,PARKLANE CHRISTIAN REFORMED CHURCH,DOMESTIC NONPROFIT CORPORATION,1959-12-22T00:00:00.000,REGISTERED AGENT,16001 SE MAIN,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6343917&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6497317,"MIDWAY HEATING COMPANY, INC.",DOMESTIC BUSINESS CORPORATION,1960-07-29T00:00:00.000,MAILING ADDRESS,12625 SE SHERMAN ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6497317&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6497317,"MIDWAY HEATING COMPANY, INC.",DOMESTIC BUSINESS CORPORATION,1960-07-29T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,12625 SE SHERMAN ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6497317&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6497317,"MIDWAY HEATING COMPANY, INC.",DOMESTIC BUSINESS CORPORATION,1960-07-29T00:00:00.000,REGISTERED AGENT,12625 SE SHERMAN ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6497317&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6507412,"WILLIS-CLAY INSURANCE, INC.",DOMESTIC BUSINESS CORPORATION,1960-08-17T00:00:00.000,MAILING ADDRESS,202 SE 181ST AV #206,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6507412&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6507412,"WILLIS-CLAY INSURANCE, INC.",DOMESTIC BUSINESS CORPORATION,1960-08-17T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,202 SE 181ST AVE #206,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6507412&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6583819,"ASCENSION LUTHERAN CHURCH OF PORTLAND, MULTNOMAH COUNTY, OREGON",DOMESTIC NONPROFIT CORPORATION,1961-01-10T00:00:00.000,MAILING ADDRESS,1440 SE 182ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6583819&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6583819,"ASCENSION LUTHERAN CHURCH OF PORTLAND, MULTNOMAH COUNTY, OREGON",DOMESTIC NONPROFIT CORPORATION,1961-01-10T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1440 SE 182ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6583819&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6583819,"ASCENSION LUTHERAN CHURCH OF PORTLAND, MULTNOMAH COUNTY, OREGON",DOMESTIC NONPROFIT CORPORATION,1961-01-10T00:00:00.000,REGISTERED AGENT,1440 SE 182ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6583819&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6654313,"MIDWAY CONGREGATION OF JEHOVAH'S WITNESSES, PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1961-05-02T00:00:00.000,MAILING ADDRESS,547 SE 137TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6654313&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6654313,"MIDWAY CONGREGATION OF JEHOVAH'S WITNESSES, PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1961-05-02T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,633 SE 139TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6654313&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6654313,"MIDWAY CONGREGATION OF JEHOVAH'S WITNESSES, PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1961-05-02T00:00:00.000,REGISTERED AGENT,547 SE 137TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6654313&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6723514,LYNWOOD FRIENDS CHURCH,DOMESTIC NONPROFIT CORPORATION,1961-08-28T00:00:00.000,MAILING ADDRESS,835 SE 162ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6723514&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6723514,LYNWOOD FRIENDS CHURCH,DOMESTIC NONPROFIT CORPORATION,1961-08-28T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,835 SE 162ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6723514&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6946917,"MOBILE PARK PLAZA, INC.",DOMESTIC BUSINESS CORPORATION,1962-08-22T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,19776 SE STARK ST #14,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6946917&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6946917,"MOBILE PARK PLAZA, INC.",DOMESTIC BUSINESS CORPORATION,1962-08-22T00:00:00.000,REGISTERED AGENT,19776 SE STARK ST #14,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6946917&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
11818788,ELKS YOUTH EYE SERVICE,DOMESTIC NONPROFIT CORPORATION,1963-01-29T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,6950 HAMPTON STE 232,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=11818788&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
7391915,B.D.GRAY INC.,DOMESTIC BUSINESS CORPORATION,1964-07-28T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,19340 SE STARK STREET,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=7391915&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
7426612,"HEITZMAN BODY & PAINT, INC.",DOMESTIC BUSINESS CORPORATION,1964-09-24T00:00:00.000,MAILING ADDRESS,10300 SW GREENBURG RD STE 500,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=7426612&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
7500911,BURNSIDE BAPTIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1965-01-22T00:00:00.000,MAILING ADDRESS,18311 E BURNSIDE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=7500911&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
7500911,BURNSIDE BAPTIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1965-01-22T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,18311 E BURNSIDE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=7500911&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
7500911,BURNSIDE BAPTIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1965-01-22T00:00:00.000,REGISTERED AGENT,18311 E BURNSIDE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=7500911&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
7867211,PACIFIC-NORTHWEST DISTRICT CHURCH OF THE BRETHREN,DOMESTIC NONPROFIT CORPORATION,1966-07-12T00:00:00.000,REGISTERED AGENT,12727 SE MARKET ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=7867211&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
8191215,MICRO INC.,DOMESTIC BUSINESS CORPORATION,1967-11-15T00:00:00.000,MAILING ADDRESS,12788 SE STARK ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=8191215&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
8191215,MICRO INC.,DOMESTIC BUSINESS CORPORATION,1967-11-15T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,12788 SE STARK ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=8191215&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
8469413,CULTUREBOUND,DOMESTIC NONPROFIT CORPORATION,1968-10-23T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1507A SE 122ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=8469413&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
8469413,CULTUREBOUND,DOMESTIC NONPROFIT CORPORATION,1968-10-23T00:00:00.000,REGISTERED AGENT,1507A SE 122ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=8469413&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
10855252,ELVES HOME SERVICES,ASSUMED BUSINESS NAME,1975-10-30T00:00:00.000,AUTHORIZED REPRESENTATIVE,17676 SE MAIN,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=10855252&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
10855252,ELVES HOME SERVICES,ASSUMED BUSINESS NAME,1975-10-30T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,17676 SE MAIN,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=10855252&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
11767811,SNOW-CAP COMMUNITY CHARITIES,DOMESTIC NONPROFIT CORPORATION,1976-10-20T00:00:00.000,MAILING ADDRESS,17788 SE PINE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=11767811&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
11767811,SNOW-CAP COMMUNITY CHARITIES,DOMESTIC NONPROFIT CORPORATION,1976-10-20T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,17788 SE PINE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=11767811&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
11767811,SNOW-CAP COMMUNITY CHARITIES,DOMESTIC NONPROFIT CORPORATION,1976-10-20T00:00:00.000,REGISTERED AGENT,17788 SE PINE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=11767811&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
12596417,THE INTERNATIONAL FELLOWSHIP FAMILY,DOMESTIC NONPROFIT CORPORATION,1978-01-11T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,675 NE 181ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=12596417&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
12596417,THE INTERNATIONAL FELLOWSHIP FAMILY,DOMESTIC NONPROFIT CORPORATION,1978-01-11T00:00:00.000,REGISTERED AGENT,675 NE 181ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=12596417&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
12630315,"GILLESPIE ENTERPRISES, INC.",DOMESTIC BUSINESS CORPORATION,1978-01-30T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,18437 SE CARUTHERS STREET,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=12630315&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
13321617,"SERA ARCHITECTS, INC.",DOMESTIC BUSINESS CORPORATION,1978-12-21T00:00:00.000,MAILING ADDRESS,13605 SE HARRISON CT,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=13321617&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
13466214,FRIENDS OF OLD FORT STEVENS,DOMESTIC NONPROFIT CORPORATION,1979-02-28T00:00:00.000,REGISTERED AGENT,17674 SE MAIN,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=13466214&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
14101216,"T.J.'S HAPPY LANDING TAVERN, INC.",DOMESTIC BUSINESS CORPORATION,1979-11-28T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,520 SE 148TH,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=14101216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
14143317,OPEN SCHOOL INC.,DOMESTIC NONPROFIT CORPORATION,1979-12-17T00:00:00.000,MAILING ADDRESS,16570 SE OAK ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=14143317&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
14143317,OPEN SCHOOL INC.,DOMESTIC NONPROFIT CORPORATION,1979-12-17T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,16570 SE OAK ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=14143317&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
14143317,OPEN SCHOOL INC.,DOMESTIC NONPROFIT CORPORATION,1979-12-17T00:00:00.000,REGISTERED AGENT,16570 SE OAK ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=14143317&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
14681910,RAINBOW ADULT LIVING FACILITIES,DOMESTIC NONPROFIT CORPORATION,1980-08-29T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,16432 SE STARK ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=14681910&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
14681910,RAINBOW ADULT LIVING FACILITIES,DOMESTIC NONPROFIT CORPORATION,1980-08-29T00:00:00.000,REGISTERED AGENT,16432 SE STARK ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=14681910&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
15460710,THE IMPERIAL SOVEREIGN ROSE COURT OF OREGON,DOMESTIC NONPROFIT CORPORATION,1981-07-24T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,23 SE 127TH AVE APT 1,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=15460710&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
15460710,THE IMPERIAL SOVEREIGN ROSE COURT OF OREGON,DOMESTIC NONPROFIT CORPORATION,1981-07-24T00:00:00.000,REGISTERED AGENT,23 SE 127TH AVE APT 1,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=15460710&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
15632714,"BO KWANG SAH, INC.",DOMESTIC NONPROFIT CORPORATION,1981-10-09T00:00:00.000,MAILING ADDRESS,1921 SE 174TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=15632714&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
15632714,"BO KWANG SAH, INC.",DOMESTIC NONPROFIT CORPORATION,1981-10-09T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1921 SE 174TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=15632714&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
15632714,"BO KWANG SAH, INC.",DOMESTIC NONPROFIT CORPORATION,1981-10-09T00:00:00.000,REGISTERED AGENT,1921 SE 174TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=15632714&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
24201857,EYE OPENER PUBLISHERS,ASSUMED BUSINESS NAME,1982-01-20T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,12619 SE SALMON CT,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=24201857&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
16004814,"SERBICK'S TRAILER AND EQUIPMENT REPAIR, INC.",DOMESTIC BUSINESS CORPORATION,1982-04-14T00:00:00.000,MAILING ADDRESS,307 SE 151ST AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=16004814&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
16004814,"SERBICK'S TRAILER AND EQUIPMENT REPAIR, INC.",DOMESTIC BUSINESS CORPORATION,1982-04-14T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,307 SE 151ST AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=16004814&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
16004814,"SERBICK'S TRAILER AND EQUIPMENT REPAIR, INC.",DOMESTIC BUSINESS CORPORATION,1982-04-14T00:00:00.000,REGISTERED AGENT,307 SE 151ST AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=16004814&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
16314312,GREATER PORTLAND BAPTIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1982-09-14T00:00:00.000,MAILING ADDRESS,17800 SE MAIN ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=16314312&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
