NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,Type,Primary City,State,County
ZCTA5 97449,1955,1004,144,144,97449,STANDARD,Lakeside,OR,Coos County
ZCTA5 97501,47160,18685,4909,4918,97501,STANDARD,Medford,OR,Jackson County
ZCTA5 97531,307,134,0,0,97531,STANDARD,Kerby,OR,Josephine County
ZCTA5 97627,558,206,7,7,97627,STANDARD,Keno,OR,Klamath County
ZCTA5 97758,76,32,8,8,97758,STANDARD,Riley,OR,Harney County
ZCTA5 97063,727,374,47,59,97063,STANDARD,Tygh Valley,OR,Wasco County
ZCTA5 97024,10014,4565,664,705,97024,STANDARD,Fairview,OR,Multnomah County
ZCTA5 97028,162,127,0,0,97028,STANDARD,Government Camp,OR,Clackamas County
ZCTA5 97041,3084,882,166,166,97041,STANDARD,Mount Hood Parkdale,OR,Hood River County
ZCTA5 97060,22133,6933,853,938,97060,STANDARD,Troutdale,OR,Multnomah County
ZCTA5 97111,3441,1222,102,102,97111,STANDARD,Carlton,OR,Yamhill County
ZCTA5 97119,5309,1749,185,204,97119,STANDARD,Gaston,OR,Washington County
ZCTA5 97145,298,186,0,0,97145,PO BOX,Tolovana Park,OR,Clatsop County
ZCTA5 97203,34759,12805,2162,2340,97203,STANDARD,Portland,OR,Multnomah County
ZCTA5 97206,54248,21211,2858,3270,97206,STANDARD,Portland,OR,Multnomah County
ZCTA5 97209,19824,13633,1930,2176,97209,STANDARD,Portland,OR,Multnomah County
ZCTA5 97211,35738,14336,1709,1803,97211,STANDARD,Portland,OR,Multnomah County
ZCTA5 97214,28348,14052,1312,1493,97214,STANDARD,Portland,OR,Multnomah County
ZCTA5 97231,3975,1675,99,109,97231,STANDARD,Portland,OR,Multnomah County
ZCTA5 97304,32435,12593,1493,1604,97304,STANDARD,Salem,OR,Polk County
ZCTA5 97306,32741,12387,1211,1399,97306,STANDARD,Salem,OR,Marion County
ZCTA5 97357,194,120,0,0,97357,STANDARD,Logsden,OR,Lincoln County
ZCTA5 97366,1980,880,107,128,97366,STANDARD,South Beach,OR,Lincoln County
ZCTA5 97371,592,304,93,93,97371,STANDARD,Rickreall,OR,Polk County
ZCTA5 97385,3355,1355,47,47,97385,STANDARD,Sublimity,OR,Marion County
ZCTA5 97389,1929,699,75,75,97389,STANDARD,Tangent,OR,Linn County
ZCTA5 97424,18361,7310,1819,2032,97424,STANDARD,Cottage Grove,OR,Lane County
ZCTA5 97426,9987,3758,503,511,97426,STANDARD,Creswell,OR,Lane County
ZCTA5 97434,903,296,70,70,97434,STANDARD,Dorena,OR,Lane County
ZCTA5 97458,4488,2072,559,576,97458,STANDARD,Myrtle Point,OR,Coos County
ZCTA5 97462,4014,1669,313,313,97462,STANDARD,Oakland,OR,Douglas County
ZCTA5 97465,1838,1055,402,402,97465,STANDARD,Port Orford,OR,Curry County
ZCTA5 97466,1197,450,132,132,97466,STANDARD,Powers,OR,Coos County
ZCTA5 97488,1165,474,64,69,97488,STANDARD,Vida,OR,Lane County
ZCTA5 97490,439,132,35,35,97490,STANDARD,Walton,OR,Lane County
ZCTA5 97503,13008,4364,886,898,97503,STANDARD,White City,OR,Jackson County
ZCTA5 97522,650,270,69,69,97522,STANDARD,Butte Falls,OR,Jackson County
ZCTA5 97523,5885,2771,817,836,97523,STANDARD,Cave Junction,OR,Josephine County
ZCTA5 97543,482,198,8,8,97543,STANDARD,Wilderville,OR,Josephine County
ZCTA5 97544,2594,1066,93,93,97544,STANDARD,Williams,OR,Josephine County
ZCTA5 97731,458,208,85,85,97731,STANDARD,Chemult,OR,Klamath County
ZCTA5 97754,20985,8913,1674,1748,97754,STANDARD,Prineville,OR,Crook County
ZCTA5 97620,106,75,9,9,97620,PO BOX,Adel,OR,Lake County
ZCTA5 97621,260,126,42,42,97621,STANDARD,Beatty,OR,Klamath County
