registry_number,business_name,entity_type,registry_date,associated_name_type,address,city,state,zip,business_details,address_continued,not_of_record_entity
324913,MULTNOMAH LAW LIBRARY,DOMESTIC NONPROFIT CORPORATION,1890-10-11T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1050 SW SIXTH AVE SUITE 180,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=324913&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
324913,MULTNOMAH LAW LIBRARY,DOMESTIC NONPROFIT CORPORATION,1890-10-11T00:00:00.000,REGISTERED AGENT,1050 SW SIXTH AVE SUITE 180,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=324913&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
325217,MULTNOMAH ATHLETIC CLUB,DOMESTIC NONPROFIT CORPORATION,1891-02-28T00:00:00.000,MAILING ADDRESS,601 SW SECOND AVE STE 2100,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=325217&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
325217,MULTNOMAH ATHLETIC CLUB,DOMESTIC NONPROFIT CORPORATION,1891-02-28T00:00:00.000,REGISTERED AGENT,601 SW SECOND AVENUE SUITE 2100,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=325217&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
793216,UNIVERSITY CLUB,DOMESTIC NONPROFIT CORPORATION,1901-07-03T00:00:00.000,MAILING ADDRESS,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=793216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
793216,UNIVERSITY CLUB,DOMESTIC NONPROFIT CORPORATION,1901-07-03T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1225 SW 6TH AVE,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=793216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
793216,UNIVERSITY CLUB,DOMESTIC NONPROFIT CORPORATION,1901-07-03T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=793216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
793216,UNIVERSITY CLUB,DOMESTIC NONPROFIT CORPORATION,1901-07-03T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=793216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1085919,"JOURNAL GRAPHICS, INC.",DOMESTIC BUSINESS CORPORATION,1906-03-24T00:00:00.000,MAILING ADDRESS,117 SW TAYLOR STREET SUITE 300,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1085919&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1085919,"JOURNAL GRAPHICS, INC.",DOMESTIC BUSINESS CORPORATION,1906-03-24T00:00:00.000,REGISTERED AGENT,117 SW TAYLOR STREET SUITE 300,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1085919&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1221415,EMERSON HARDWOOD COMPANY,DOMESTIC BUSINESS CORPORATION,1907-10-24T00:00:00.000,REGISTERED AGENT,101 SW MAIN STREET SUITE 825,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1221415&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1322817,"LEWIS RESOURCES, INC.",DOMESTIC BUSINESS CORPORATION,1909-01-07T00:00:00.000,MAILING ADDRESS,888 SW FIFTH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1322817&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1322817,"LEWIS RESOURCES, INC.",DOMESTIC BUSINESS CORPORATION,1909-01-07T00:00:00.000,REGISTERED AGENT,888 SW FIFTH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1322817&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1376417,"AUDUBON SOCIETY OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1909-06-25T00:00:00.000,REGISTERED AGENT,111 SW 5TH AVE STE 3675,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1376417&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1430214,NORTHWEST NATURAL GAS COMPANY,DOMESTIC BUSINESS CORPORATION,1910-01-10T00:00:00.000,MAILING ADDRESS,250 SW TAYLOR ST,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1430214&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1430214,NORTHWEST NATURAL GAS COMPANY,DOMESTIC BUSINESS CORPORATION,1910-01-10T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,250 SW TAYLOR ST,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1430214&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1430214,NORTHWEST NATURAL GAS COMPANY,DOMESTIC BUSINESS CORPORATION,1910-01-10T00:00:00.000,REGISTERED AGENT,250 SW TAYLOR ST,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1430214&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1446517,HOLY TRINITY GREEK ORTHODOX CATHEDRAL OF OREGON,DOMESTIC NONPROFIT CORPORATION,1910-02-23T00:00:00.000,REGISTERED AGENT,601 SW SECOND AVENUE SUITE 1800,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1446517&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1584812,THE PORTLAND POLICE BENEFICIARY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1911-03-27T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1111 SW 2ND AVE ROOM 1690,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1584812&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1584812,THE PORTLAND POLICE BENEFICIARY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1911-03-27T00:00:00.000,REGISTERED AGENT,1111 SW 2ND AVE ROOM 1690,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1584812&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2057214,UNITED STATES BAKERY,DOMESTIC BUSINESS CORPORATION,1916-11-08T00:00:00.000,REGISTERED AGENT,888 SW FIFTH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2057214&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2145811,"SOCIETY OF JESUS, OREGON PROVINCE",DOMESTIC NONPROFIT CORPORATION,1918-02-21T00:00:00.000,MAILING ADDRESS,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2145811&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2145811,"SOCIETY OF JESUS, OREGON PROVINCE",DOMESTIC NONPROFIT CORPORATION,1918-02-21T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2145811&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2145811,"SOCIETY OF JESUS, OREGON PROVINCE",DOMESTIC NONPROFIT CORPORATION,1918-02-21T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2145811&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2204618,OMEGA UPSILON,DOMESTIC NONPROFIT CORPORATION,1919-03-17T00:00:00.000,MAILING ADDRESS,851 SW SIXTH AVE STE 1500,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2204618&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
145029,THE PIONEER EDUCATIONAL SOCIETY,FOREIGN NONPROFIT CORPORATION,1919-08-18T00:00:00.000,MAILING ADDRESS,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=145029&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
145029,THE PIONEER EDUCATIONAL SOCIETY,FOREIGN NONPROFIT CORPORATION,1919-08-18T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=145029&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
145029,THE PIONEER EDUCATIONAL SOCIETY,FOREIGN NONPROFIT CORPORATION,1919-08-18T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=145029&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2813913,"GROSSENBACHER BROS., INC.",DOMESTIC BUSINESS CORPORATION,1925-05-05T00:00:00.000,MAILING ADDRESS,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2813913&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2813913,"GROSSENBACHER BROS., INC.",DOMESTIC BUSINESS CORPORATION,1925-05-05T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2813913&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2813913,"GROSSENBACHER BROS., INC.",DOMESTIC BUSINESS CORPORATION,1925-05-05T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2813913&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2835619,BETA NU CHAPTER OF PHI BETA PI,DOMESTIC NONPROFIT CORPORATION,1925-08-04T00:00:00.000,MAILING ADDRESS,1 SW COLUMBIA ST STE 400,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2835619&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3414216,PORTLAND GENERAL ELECTRIC COMPANY,DOMESTIC BUSINESS CORPORATION,1930-07-25T00:00:00.000,MAILING ADDRESS,121 SW SALMON ST,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3414216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},1WTC1301,
3414216,PORTLAND GENERAL ELECTRIC COMPANY,DOMESTIC BUSINESS CORPORATION,1930-07-25T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,121 SW SALMON ST,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3414216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3414216,PORTLAND GENERAL ELECTRIC COMPANY,DOMESTIC BUSINESS CORPORATION,1930-07-25T00:00:00.000,REGISTERED AGENT,121 SW SALMON ST,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3414216&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},1WTC1301,
3685518,THE DESCHUTES CLUB,DOMESTIC NONPROFIT CORPORATION,1933-09-13T00:00:00.000,REGISTERED AGENT,888 SW 5TH AVE #800,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3685518&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3725413,PORTCO CORPORATION,DOMESTIC BUSINESS CORPORATION,1934-03-03T00:00:00.000,MAILING ADDRESS,C/O TT ADMINISTRATIVE SERVICES LLC,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3725413&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},888 SW FIFTH AVE STE 1600,
3725413,PORTCO CORPORATION,DOMESTIC BUSINESS CORPORATION,1934-03-03T00:00:00.000,REGISTERED AGENT,888 SW FIFTH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3725413&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3736618,PORTLAND ROSE FESTIVAL FOUNDATION,DOMESTIC NONPROFIT CORPORATION,1934-04-18T00:00:00.000,MAILING ADDRESS,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3736618&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3736618,PORTLAND ROSE FESTIVAL FOUNDATION,DOMESTIC NONPROFIT CORPORATION,1934-04-18T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1020 SW NAITO PKWY,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3736618&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3736618,PORTLAND ROSE FESTIVAL FOUNDATION,DOMESTIC NONPROFIT CORPORATION,1934-04-18T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3736618&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3736618,PORTLAND ROSE FESTIVAL FOUNDATION,DOMESTIC NONPROFIT CORPORATION,1934-04-18T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3736618&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3771615,"HOOD RIVER DISTILLERS, INC.",DOMESTIC BUSINESS CORPORATION,1934-10-27T00:00:00.000,MAILING ADDRESS,TT ADMINISTRATIVE SERVICES LLC,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3771615&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},888 SW 5TH AVE STE 1600,
3771615,"HOOD RIVER DISTILLERS, INC.",DOMESTIC BUSINESS CORPORATION,1934-10-27T00:00:00.000,REGISTERED AGENT,888 SW 5TH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3771615&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3789914,INDEPENDENT INSURANCE AGENTS AND BROKERS OF OREGON,DOMESTIC NONPROFIT CORPORATION,1935-01-29T00:00:00.000,REGISTERED AGENT,DUNN CARNEY ALLEN HIGGINS AND TONGUE,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3789914&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},851 SW 6TH SUITE 1500,
3816311,"KARAMANOS HOLDINGS, INC.",DOMESTIC BUSINESS CORPORATION,1935-05-18T00:00:00.000,MAILING ADDRESS,520 SW YAMHILL STREET SUITE 600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3816311&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3816311,"KARAMANOS HOLDINGS, INC.",DOMESTIC BUSINESS CORPORATION,1935-05-18T00:00:00.000,REGISTERED AGENT,520 SW YAMHILL STREET SUITE 600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3816311&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3848116,OREGON PHI KAPPA PSI ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1935-10-16T00:00:00.000,MAILING ADDRESS,MOTSCHENBACHER BLATTNER LLP,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3848116&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},117 SW TAYLOR ST STE 300,
3848116,OREGON PHI KAPPA PSI ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1935-10-16T00:00:00.000,REGISTERED AGENT,117 SW TAYLOR ST STE 300,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3848116&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3865110,COLUMBIA RIVER STEAMSHIP OPERATORS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1936-01-13T00:00:00.000,MAILING ADDRESS,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3865110&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3865110,COLUMBIA RIVER STEAMSHIP OPERATORS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1936-01-13T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3865110&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3865110,COLUMBIA RIVER STEAMSHIP OPERATORS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1936-01-13T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3865110&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3885019,"JESUIT NOVITIATE OF SHERIDAN, OREGON",DOMESTIC NONPROFIT CORPORATION,1936-04-13T00:00:00.000,MAILING ADDRESS,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3885019&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3885019,"JESUIT NOVITIATE OF SHERIDAN, OREGON",DOMESTIC NONPROFIT CORPORATION,1936-04-13T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3885019&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3885019,"JESUIT NOVITIATE OF SHERIDAN, OREGON",DOMESTIC NONPROFIT CORPORATION,1936-04-13T00:00:00.000,REGISTERED AGENT,1211 SW FIFTH AVE STE 1900,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3885019&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3992716,"OREGON FINANCIAL SERVICES ASSOCIATION, INC.",DOMESTIC NONPROFIT CORPORATION,1937-11-04T00:00:00.000,MAILING ADDRESS,888 SW 5TH STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3992716&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3992716,"OREGON FINANCIAL SERVICES ASSOCIATION, INC.",DOMESTIC NONPROFIT CORPORATION,1937-11-04T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,888 SW 5TH STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3992716&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
3992716,"OREGON FINANCIAL SERVICES ASSOCIATION, INC.",DOMESTIC NONPROFIT CORPORATION,1937-11-04T00:00:00.000,REGISTERED AGENT,888 SW FIFTH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=3992716&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
